title,date,day,gross,theaters,totalGross
Titanic,1997-12-19,1,8658814,2674,8658814
Titanic,1997-12-20,2,10672013,2674,19330827
Titanic,1997-12-21,3,9307304,2674,28638131
Titanic,1997-12-22,4,5578212,2674,34216343
Titanic,1997-12-23,5,6003119,2674,40219462
Titanic,1997-12-24,6,3571345,2674,43790807
Titanic,1997-12-25,7,9178529,2674,52969336
Titanic,1997-12-26,8,12122298,2711,65091634
Titanic,1997-12-27,9,12466455,2711,77558089
Titanic,1997-12-28,10,10866520,2711,88424609
Titanic,1997-12-29,11,7942920,2711,96367529
Titanic,1997-12-30,12,8012909,2711,104380438
Titanic,1997-12-31,13,8213735,2711,112594173
Titanic,1998-01-01,14,11558520,2711,124152693
Titanic,1998-01-02,15,11698861,2727,135851554
Titanic,1998-01-03,16,12726625,2727,148578179
Titanic,1998-01-04,17,8889792,2727,157467971
Titanic,1998-01-05,18,3022271,2727,160490242
Titanic,1998-01-06,19,3044822,2727,163535064
Titanic,1998-01-07,20,2841351,2727,166376415
Titanic,1998-01-08,21,2789088,2727,169165503
Titanic,1998-01-09,22,7738150,2746,176903653
Titanic,1998-01-10,23,12758118,2746,189661771
Titanic,1998-01-11,24,8220042,2746,197881813
Titanic,1998-01-12,25,2170146,2746,200051959
Titanic,1998-01-13,26,2386164,2746,202438123
Titanic,1998-01-14,27,2095782,2746,204533905
Titanic,1998-01-15,28,2200465,2746,206734370
Titanic,1998-01-16,29,7418385,2767,214152755
Titanic,1998-01-17,30,12357344,2767,226510099
Titanic,1998-01-18,31,10235305,2767,236745404
Titanic,1998-01-19,32,6003510,2767,242748914
Titanic,1998-01-20,33,2322334,2767,245071248
Titanic,1998-01-21,34,2076976,2767,247148224
Titanic,1998-01-22,35,2212942,2767,249361166
Star Wars Ep. VII: The Force Awakens,2015-12-18,1,119119282,4134,119119282
Star Wars Ep. VII: The Force Awakens,2015-12-19,2,68294204,4134,187413486
Star Wars Ep. VII: The Force Awakens,2015-12-20,3,60553189,4134,247966675
Star Wars Ep. VII: The Force Awakens,2015-12-21,4,40109742,4134,288076417
Star Wars Ep. VII: The Force Awakens,2015-12-22,5,37361729,4134,325438146
Star Wars Ep. VII: The Force Awakens,2015-12-23,6,38022183,4134,363460329
Star Wars Ep. VII: The Force Awakens,2015-12-24,7,27395725,4134,390856054
Star Wars Ep. VII: The Force Awakens,2015-12-25,8,49325663,4134,440181717
Star Wars Ep. VII: The Force Awakens,2015-12-26,9,56731532,4134,496913249
Star Wars Ep. VII: The Force Awakens,2015-12-27,10,43145665,4134,540058914
Star Wars Ep. VII: The Force Awakens,2015-12-28,11,31362029,4134,571420943
Star Wars Ep. VII: The Force Awakens,2015-12-29,12,29528583,4134,600949526
Star Wars Ep. VII: The Force Awakens,2015-12-30,13,28085057,4134,629034583
Star Wars Ep. VII: The Force Awakens,2015-12-31,14,22932686,4134,651967269
Star Wars Ep. VII: The Force Awakens,2016-01-01,15,34394152,4134,686361421
Star Wars Ep. VII: The Force Awakens,2016-01-02,16,34368250,4134,720729671
Star Wars Ep. VII: The Force Awakens,2016-01-03,17,21479271,4134,742208942
Star Wars Ep. VII: The Force Awakens,2016-01-04,18,8021882,4134,750230824
Star Wars Ep. VII: The Force Awakens,2016-01-05,19,7967428,4134,758198252
Star Wars Ep. VII: The Force Awakens,2016-01-06,20,6210432,4134,764408684
Star Wars Ep. VII: The Force Awakens,2016-01-07,21,5972359,4134,770381043
Star Wars Ep. VII: The Force Awakens,2016-01-08,22,10744380,4134,781125423
Star Wars Ep. VII: The Force Awakens,2016-01-09,23,19204072,4134,800329495
Star Wars Ep. VII: The Force Awakens,2016-01-10,24,12405333,4134,812734828
Star Wars Ep. VII: The Force Awakens,2016-01-11,25,3108701,4134,815843529
Star Wars Ep. VII: The Force Awakens,2016-01-12,26,3844408,4134,819687937
Star Wars Ep. VII: The Force Awakens,2016-01-13,27,3114937,4134,822802874
Star Wars Ep. VII: The Force Awakens,2016-01-14,28,3129967,4134,825932841
Star Wars Ep. VII: The Force Awakens,2016-01-15,29,6328954,3822,832261795
Star Wars Ep. VII: The Force Awakens,2016-01-16,30,11028514,3822,843290309
Star Wars Ep. VII: The Force Awakens,2016-01-17,31,8984649,3822,852274958
Star Wars Ep. VII: The Force Awakens,2016-01-18,32,6678148,3822,858953106
Star Wars Ep. VII: The Force Awakens,2016-01-19,33,2380910,3822,861334016
Star Wars Ep. VII: The Force Awakens,2016-01-20,34,1814233,3822,863148249
Star Wars Ep. VII: The Force Awakens,2016-01-21,35,1884097,3822,865032346
Avengers: Endgame,2019-04-26,1,157461641,4662,157461641
Avengers: Endgame,2019-04-27,2,109264122,4662,266725763
Avengers: Endgame,2019-04-28,3,90389244,4662,357115007
Avengers: Endgame,2019-04-29,4,36874439,4662,393989446
